RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever/DerogPubRec,NumTrades90Ever/DerogPubRec,PercentTradesNeverDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,PercentTradesWBalance
Bad,55.0,4.0,84.0,20.0,3.0,0.0,83.0,23.0,1.0,43.0,0.0,0.0,33.0,8.0,69.0
Bad,61.0,15.0,41.0,2.0,4.0,4.0,100.0,7.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
Bad,67.0,5.0,24.0,9.0,0.0,0.0,100.0,9.0,4.0,44.0,4.0,4.0,53.0,4.0,86.0
Bad,66.0,1.0,73.0,28.0,1.0,1.0,93.0,30.0,3.0,57.0,5.0,4.0,72.0,6.0,91.0
Bad,81.0,27.0,132.0,12.0,0.0,0.0,100.0,12.0,0.0,25.0,1.0,1.0,51.0,3.0,80.0
Bad,59.0,11.0,78.0,31.0,0.0,0.0,91.0,32.0,1.0,47.0,0.0,0.0,62.0,12.0,94.0
Good,54.0,7.0,37.0,25.0,0.0,0.0,92.0,26.0,3.0,58.0,4.0,4.0,89.0,7.0,100.0
Good,68.0,7.0,65.0,17.0,0.0,0.0,83.0,18.0,1.0,44.0,0.0,0.0,28.0,2.0,40.0
Bad,59.0,2.0,138.0,24.0,0.0,0.0,85.0,27.0,1.0,26.0,1.0,1.0,68.0,7.0,90.0
Bad,61.0,4.0,36.0,19.0,0.0,0.0,95.0,19.0,3.0,26.0,6.0,6.0,31.0,5.0,62.0
Good,82.0,5.0,47.0,16.0,0.0,0.0,100.0,16.0,3.0,31.0,0.0,0.0,15.0,4.0,67.0
Bad,50.0,25.0,76.0,12.0,1.0,0.0,60.0,15.0,0.0,20.0,1.0,1.0,84.0,5.0,88.0
Bad,74.0,2.0,66.0,23.0,0.0,0.0,100.0,28.0,4.0,39.0,2.0,2.0,18.0,3.0,67.0
Good,69.0,6.0,117.0,11.0,1.0,1.0,100.0,14.0,1.0,8.0,0.0,0.0,13.0,2.0,67.0
Bad,63.0,3.0,77.0,34.0,0.0,0.0,97.0,36.0,2.0,36.0,11.0,10.0,71.0,10.0,82.0
Bad,61.0,19.0,68.0,14.0,0.0,0.0,87.0,15.0,0.0,33.0,2.0,1.0,62.0,3.0,86.0
Bad,62.0,4.0,59.0,16.0,4.0,2.0,79.0,20.0,4.0,58.0,4.0,4.0,25.0,3.0,70.0
Bad,89.0,9.0,147.0,10.0,0.0,0.0,100.0,10.0,1.0,10.0,0.0,0.0,3.0,2.0,50.0
Bad,65.0,2.0,26.0,15.0,1.0,1.0,100.0,17.0,2.0,25.0,4.0,4.0,31.0,5.0,75.0
Bad,57.0,4.0,73.0,27.0,1.0,1.0,97.0,31.0,2.0,48.0,4.0,4.0,44.0,3.0,56.0
Bad,72.0,11.0,83.0,22.0,0.0,0.0,100.0,22.0,1.0,41.0,0.0,0.0,49.0,6.0,73.0
Good,72.0,4.0,53.0,29.0,0.0,0.0,100.0,30.0,2.0,27.0,1.0,1.0,43.0,9.0,64.0
Bad,65.0,9.0,45.0,20.0,0.0,0.0,85.0,20.0,1.0,20.0,0.0,0.0,14.0,4.0,50.0
Bad,64.0,4.0,55.0,19.0,1.0,1.0,90.0,20.0,2.0,50.0,2.0,2.0,24.0,6.0,82.0
Bad,58.0,3.0,79.0,25.0,2.0,1.0,93.0,28.0,2.0,48.0,1.0,1.0,63.0,8.0,91.0
Bad,58.0,16.0,72.0,18.0,2.0,0.0,55.0,22.0,0.0,45.0,1.0,1.0,79.0,7.0,91.0
Bad,79.0,7.0,94.0,17.0,0.0,0.0,100.0,17.0,1.0,29.0,0.0,0.0,28.0,3.0,57.0
Bad,66.0,32.0,107.0,15.0,2.0,2.0,82.0,17.0,0.0,53.0,1.0,1.0,19.0,3.0,63.0
Bad,69.0,8.0,157.0,38.0,4.0,4.0,100.0,39.0,1.0,36.0,4.0,4.0,50.0,14.0,89.0
Good,71.0,3.0,62.0,15.0,3.0,2.0,83.0,18.0,4.0,33.0,5.0,5.0,5.0,1.0,22.0
Bad,54.0,12.0,49.0,9.0,3.0,3.0,64.0,12.0,0.0,27.0,0.0,0.0,62.0,6.0,100.0
Bad,68.0,7.0,44.0,39.0,2.0,2.0,100.0,39.0,4.0,67.0,2.0,2.0,15.0,5.0,50.0
Good,75.0,4.0,66.0,19.0,0.0,0.0,100.0,19.0,2.0,21.0,0.0,0.0,53.0,5.0,55.0
Bad,67.0,6.0,37.0,23.0,2.0,2.0,88.0,26.0,5.0,42.0,0.0,0.0,31.0,5.0,67.0
Good,88.0,33.0,92.0,13.0,0.0,0.0,100.0,14.0,0.0,7.0,0.0,0.0,1.0,1.0,25.0
Bad,51.0,13.0,96.0,22.0,3.0,1.0,84.0,25.0,0.0,56.0,4.0,3.0,79.0,5.0,100.0
Bad,70.0,25.0,57.0,23.0,0.0,0.0,96.0,24.0,0.0,13.0,0.0,0.0,51.0,9.0,67.0
